Police Department,State,sort order,data entered?,agency_type,ori,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data,civilian_complaints_source,civilian_complaints_source_link,2019 data available?,civilian_complaints_reported_2013,civilian_complaints_sustained_2013,use_of_force_complaints_reported_2013,use_of_force_complaints_sustained_2013,discrimination_complaints_reported_2013,discrimination_complaints_sustained_2013,criminal_complaints_reported_2013,criminal_complaints_sustained_2013,complaints_in_detention_reported_2013,complaints_in_detention_sustained_2013,civilian_complaints_reported_2014,civilian_complaints_sustained_2014,use_of_force_complaints_reported_2014,use_of_force_complaints_sustained_2014,discrimination_complaints_reported_2014,discrimination_complaints_sustained_2014,criminal_complaints_reported_2014,criminal_complaints_sustained_2014,complaints_in_detention_reported_2014,complaints_in_detention_sustained_2014,civilian_complaints_reported_2015,civilian_complaints_sustained_2015,use_of_force_complaints_reported_2015,use_of_force_complaints_sustained_2015,discrimination_complaints_reported_2015,discrimination_complaints_sustained_2015,criminal_complaints_reported_2015,criminal_complaints_sustained_2015,complaints_in_detention_reported_2015,complaints_in_detention_sustained_2015,civilian_complaints_reported_2016,civilian_complaints_sustained_2016,use_of_force_complaints_reported_2016,use_of_force_complaints_sustained_2016,discrimination_complaints_reported_2016,discrimination_complaints_sustained_2016,criminal_complaints_reported_2016,criminal_complaints_sustained_2016,complaints_in_detention_reported_2016,complaints_in_detention_sustained_2016,civilian_complaints_reported_2017,civilian_complaints_sustained_2017,use_of_force_complaints_reported_2017,use_of_force_complaints_sustained_2017,discrimination_complaints_reported_2017,discrimination_complaints_sustained_2017,criminal_complaints_reported_2017,criminal_complaints_sustained_2017,complaints_in_detention_reported_2017,complaints_in_detention_sustained_2017,civilian_complaints_reported_2018,civilian_complaints_sustained_2018,use_of_force_complaints_reported_2018,use_of_force_complaints_sustained_2018,discrimination_complaints_reported_2018,discrimination_complaints_sustained_2018,criminal_complaints_reported_2018,criminal_complaints_sustained_2018,complaints_in_detention_reported_2018,complaints_in_detention_sustained_2018,civilian_complaints_reported_2019,civilian_complaints_sustained_2019,use_of_force_complaints_reported_2019,use_of_force_complaints_sustained_2019,discrimination_complaints_reported_2019,discrimination_complaints_sustained_2019,criminal_complaints_reported_2019,criminal_complaints_sustained_2019,complaints_in_detention_reported_2019,complaints_in_detention_sustained_2019,civilian_complaints_reported_2020,civilian_complaints_sustained_2020,use_of_force_complaints_reported_2020,use_of_force_complaints_sustained_2020,discrimination_complaints_reported_2020,discrimination_complaints_sustained_2020,criminal_complaints_reported_2020,criminal_complaints_sustained_2020,complaints_in_detention_reported_2020,complaints_in_detention_sustained_2020,civilian_complaints_reported_2021,civilian_complaints_sustained_2021,use_of_force_complaints_reported_2021,use_of_force_complaints_sustained_2021,discrimination_complaints_reported_2021,discrimination_complaints_sustained_2021,criminal_complaints_reported_2021,criminal_complaints_sustained_2021,complaints_in_detention_reported_2021,complaints_in_detention_sustained_2021,civilian_complaints_reported_2022,civilian_complaints_sustained_2022,use_of_force_complaints_reported_2022,use_of_force_complaints_sustained_2022,discrimination_complaints_reported_2022,discrimination_complaints_sustained_2022,criminal_complaints_reported_2022,criminal_complaints_sustained_2022,complaints_in_detention_reported_2022,complaints_in_detention_sustained_2022,Notes,Data input by,Complaints data fact-checked? (Put your Slack handle here if you've finished checking all the info for columns E-O). Change any cells that are incorrect and highlight the ones you've changed in yellow.,Response,FINAL CHECK,Matches aggregated?,2016-2019 Updated Data,2021 Request Fact-Checking (requests filed in 2021 for data from previous years),2021 Response 1,2021 Re-check,civilian_complaints_reported,civilian_complaints_sustained,use_of_force_complaints_reported,use_of_force_complaints_sustained,discrimination_complaints_reported,discrimination_complaints_sustained,criminal_complaints_reported,criminal_complaints_sustained,complaints_in_detention_reported,complaints_in_detention_sustained,years_of_complaints_data_original,population
Oshkosh,WI,121,Yes,police-department,WI0710300,21,5,,,,,,,,,2017-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: no 2016 or 2019 data, no breakdown by type",alliemonck,"@yael, link broken, could not verify use of force #s",,Good - removed UOF #s that couldn't be verified,Good,,,,,21,5,,,,,,,,,2016-21,67080
Arlington,TX,122,Yes,police-department,TX2200100,,,,,18,0,,,,,,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1,0,,,,,,,,,6,0,,,,,,,,,2,0,,,,,,,,,5,0,,,,,,,,,4,0,,,,,,,,,,,,,,,alliemonck: only have racial profiling data,alliemonck,"@yael, unable to verify information @MaryHammond - rechecked racial profiling complaints and confirmed numbers",Added in the source links and images for the discrimination/racial profiling complaints,Good,Good,,,,,,,,,18,0,,,,,2016-21,402700
North Miami,FL,123,Yes,police-department,FL0131800,29,10,5,0,,,,,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,3,0,,,,,,,11,3,2,0,,,,,,,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond,,Good - added #s,Good,,,,,29,10,5,0,,,,,,,2016-21,63109
Salem,MA,124,Yes,police-department,MA0052800,55,24,,,,,,,,,2016-19,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,17,14,,,,,,,,,6,4,,,,,,,,,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: no breakdown by type,alliemonck,@yael,,Good,Good,,,,,55,24,,,,,,,,,2016-21,43154
Parker,CO,125,Yes,police-department,CO0180500,87,12,11,0,1,0,,,,,2016-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,4,0,1,0,,,,,14,1,3,0,,,,,,,4,1,1,0,,,,,,,29,2,2,0,,,,,,,26,7,0,0,,,,,,,,,1,0,,,,,,,,,2,0,,,,,,,alliemonck: no 2017 or 2019 data available,alliemonck;samswey,@yael. could not verify 2018 numbers,,Good,Good,,,,,87,12,11,0,1,0,,,,,2016-21,59245
Davie,FL,126,Yes,police-department,FL0061200,260,29,17,1,2,0,0,0,,,2013-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,46,2,6,0,1,0,,,,,45,5,0,0,0,0,,,,,34,2,2,0,0,0,,,,,31,4,1,0,0,0,,,,,31,5,1,0,0,0,,,,,28,4,1,0,0,0,,,,,22,3,3,0,0,0,,,,,15,1,2,0,0,0,,,,,8,3,1,1,1,0,0,0,,,,,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond - could not verify data,,Individualized,Good,,maryhammond,,,260,29,17,1,2,0,0,0,,,2016-21,107988
Tyler,TX,127,Yes,police-department,TX2120400,41,5,0,0,2,0,,,,,2013-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,6,0,3,,1,,,,,,5,0,1,,3,,,,,,6,2,0,,1,,,,,,4,0,0,0,1,0,,,,,5,0,0,0,1,0,,,,,8,1,0,0,1,,,,,,3,1,1,,1,,,,,,4,1,0,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,alliemonck: no 2019 data,alliemonck,"@yael, it doesn't say whether the complaint sustained was for racial profiling","Based on the reports that were provided in that request it's impossible to tell whether the 1 racial profiling complaint in 2018 was the 1 complaint sustained that year. However, for 2016-17, there were 2 total racial profiling complaints and no complaints of any kind were sustained. So I replaced what was in column I to reflect the 2016-17 data for racial profiling complaints where we know the outcomes.",Good,Good,maryhammond 2013-15,maryhammond,,,41,5,0,0,2,0,,,,,2016-21,108139
Glendale,AZ,128,Yes,police-department,AZ0071300,17,9,,,,,,,,,2016-19,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,7,6,,,,,,,,,3,2,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,1,2,0,5,0,0,0,,,alliemonck: no breakdown by type,alliemonck,@yael could not verify G-H,I think G-H was from a BJS study but I removed it for now until I confirm the source.,Good,Good,,,,,17,9,,,,,,,,,2016-21,255468
Des Moines,IA,129,Yes,police-department,IA0770300,9,4,,,,,,,,,2017-17,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: no 2018 or 2019 data, one 2016 allegation sustained",alliemonck,@yael. one complaint was for both inappropriate force and rudeness; it looks like only the rudeness complaint was sustained. Also it is tallied as only a single complaint.,,Good,Good,,,,,9,4,,,,,,,,,2016-21,215059
Cheyenne,WY,130,Yes,police-department,WY0110100,14,4,,,,,,,,,2018-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alliemonck: no complaints data?,alliemonck,"@yael. changed from 4 to 3 because only 3 were listed under sustained, however one was listed as ""workplace file"" which I did not count (and there were internal complaints not included as well)",,Good,,,,,,14,4,,,,,,,,,2016-21,64751
Charleston,SC,131,Yes,police-department,SC0100100,26,9,10,3,1,0,1,0,,,2017-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,,,7,1,1,0,0,0,0,0,,,14,8,0,0,1,0,1,0,,,3,0,0,0,0,0,0,0,,,,,9,3,,,,,,,,,9,0,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck;samswey,@yael,Checked,Good,,,,,,26,9,10,3,1,0,1,0,,,2016-21,129739
Coral Springs,FL,132,Yes,police-department,FL0062800,42,11,17,0,7,0,1,0,,,2013-20,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,9,1,7,0,3,0,0,0,,,10,3,3,0,1,0,1,0,,,4,0,2,0,1,0,0,0,,,4,1,2,0,1,0,0,0,,,7,3,1,0,0,0,0,0,,,5,2,1,0,1,0,0,0,,,2,0,1,0,0,0,0,0,,,1,1,0,0,0,0,0,0,,,,,,,,,,,,,1,0,,,,,,,,,alliemonck: INDIVIDUALIZED,alliemonck,@MaryHammond,Checked,Good,Good,,maryhammond,,,42,11,17,0,7,0,1,0,,,2016-21,135027
Hillsboro,OR,133,Yes,police-department,OR0340300,161,21,,,,,,,,,2016-21,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,14,1,,7,,,,,,,,,,,,,,,,90,5,4,,8,,,,,,,,,,,,,,,,"alliemonck: no 2017-2019 data, no breakdown by type",alliemonck,@yael,Checked,Good,Good,,maryhammond,,,161,21,,,,,,,,,2016-21,111146
Arapahoe,CO,134,Yes,sheriff,CO0030000,6,1,,,,,,,,,2016-16,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: no 2017-2019 data, no breakdown by type",alliemonck,@yael,Checked,Good,Good,,,,,6,1,,,,,,,,,2016-21,97489
Phoenix,AZ,135,Yes,police-department,AZ0072300,2877,63,137,1,28,0,7,0,,,2016-18,Obtained from the Police Department,https://docs.google.com/document/d/1u3mLH5vt2kd2lBa5s2LwXIhwoJLzJup4Y-K86iVDUHI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,18,46,0,7,0,2,0,,,1042,27,55,1,9,0,4,0,,,929,18,36,0,12,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alliemonck: have uof complaints, others INDIVIDUALIZED",alliemonck,@yael,Checked,Good,Good,,,,,2877,63,137,1,28,0,7,0,,,2016-21,1708960
Pierce County,WA,136,Yes,sheriff,WA0270000,724,45,43,1,20,2,13,4,,,2016-2021,Obtained from the Police Department,https://www.muckrock.com/foi/pierce-county-74/police-data-collection-project-pierce-county-sheriffs-department-97737/ and https://www.muckrock.com/foi/pierce-county-74/sheriff-data-collection-request-2016-2021-138237/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,0,0,1,0,3,1,,,21,4,8,0,1,0,2,1,,,79,5,10,0,6,1,3,0,,,224,5,12,0,2,0,2,1,,,254,25,7,1,7,1,1,1,,,135,5,6,0,3,0,2,0,,,,,,,,,,,,,,,@MaryHammond - no data entered,,Good,,,,,,724,45,43,1,20,2,13,4,,,2018-21,429803
Canton,MI,137,Yes,police-department,MI8290800,610,110,7,0,59,2,9,1,,,2013-21,Obtained from the Police Department,https://www.muckrock.com/foi/canton-18051/police-data-collection-project-canton-public-safety-97864/,,57,9,0,0,2,1,0,0,,,77,18,0,0,4,0,4,0,,,78,17,0,0,5,1,2,0,,,59,9,1,0,4,0,0,0,,,75,14,1,0,12,0,0,0,,,92,12,2,0,9,0,0,0,,,63,12,1,0,9,0,0,0,,,46,12,0,0,5,0,1,1,,,63,7,2,0,9,0,2,0,,,,,,,,,,,,,,,@MaryHammond - no data entered,,Good,,,maryhammond,,,610,110,7,0,59,2,9,1,,,2016-21,94128
Hampton,VA,138,Yes,police-department,VA1110000,796,393,6,0,3,0,0,0,,,2013-21,Obtained from the Police Department,https://www.muckrock.com/foi/hampton-32064/police-data-collection-project-hampton-police-division-97796/,yes,83,28,11,,1,,,,,,99,41,7,,1,,,,,,93,69,4,,0,,,,,,90,49,3,,2,,,,,,104,68,11,,1,,,,,,81,56,4,,0,,,,,,108,46,4,,1,,,,,,108,29,10,,3,,,,,,30,7,6,0,3,0,0,0,,,,,,,,,,,,,,,@MaryHammond - no data entered,,Good - using allegations,,,maryhammond - I included P&P 533 Use of Force and Related Equipment for UOF totals,alliemonck,,796,393,6,0,3,0,0,0,,,2016-21,134082
Miami Gardens,FL,139,No,police-department,FL0139700,,,,,,,,,,,,Obtained from the Police Department,https://www.muckrock.com/foi/miami-gardens-10573/police-data-collection-project-miami-gardens-police-department-97834/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MaryHammond - no data entered,,Good,,,,,,,,,,,,,,,,2016-21,110284
Santa Fe,NM,140,Yes,police-department,NM0260100,64,19,,,,,,,,,2021,Obtained from the Police Department,https://www.muckrock.com/foi/santa-fe-22240/police-data-collection-project-santa-fe-police-department-97773/#file-877473,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,46,,1,,,,,,,,44,,2,,,,,,,,58,,3,,,,,,,,42,,2,,,,,,,,64,19,,,,,,,,,,,,,,,,,,,,2020 maryhammond,,,Good,,,,,,64,19,,,,,,,,,2016-21,85101
Cherokee County,GA,141,Yes,sheriff,GA0280000,295,91,18,3,8,0,,,,,2016-19,Obtained from the Police Department,https://www.muckrock.com/foi/cherokee-county-4860/police-data-collection-project-cherokee-county-sheriffs-office-97832/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,19,5,1,0,0,,,,,81,30,3,0,3,0,1,,2,,68,16,4,0,2,0,,,,,71,26,2,0,2,0,,,,,,,,,,,,,,,,,4,2,1,0,,,,,,,,,,,,,,,,,@MaryHammond - no data entered,,Good,,,,,,295,91,18,3,8,0,,,,,2016-21,178783
Boulder,CO,142,Yes,police-department,CO0070100,176,62,32,1,4,0,1,0,,,2013-21,Obtained from the Police Department,https://www.muckrock.com/foi/boulder-172/police-data-collection-project-boulder-police-department-97712/#file-877901,,27,17,3,0,,,2,,,,16,12,4,0,,,1,,,,8,6,1,0,,,0,,,,,,2,0,1,0,,,,,,,1,0,0,0,,,,,1,0,0,0,1,0,,,,,3,2,2,1,2,0,,,,,33,9,11,0,,,0,,,,88,16,8,0,,,1,0,,,,,,,,,,,,,,,@MaryHammond,,Good,,,maryhammond,,,176,62,32,1,4,0,1,0,,,2016-21,106598
Franklin,MA,143,No,police-department,MA0111000,,,,,,,,,,,,Obtained from the Police Department,https://www.muckrock.com/foi/franklin-86/police-data-collection-project-franklin-police-department-98417/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MaryHammond - do not see language cited in scorecord re: no complaints in the linked doc,,Good,,,,,,,,,,,,,,,,2016-21,34281
Plymouth,MA,144,Yes,police-department,MA0122000,191,73,9,0,0,0,,,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/plymouth-278/police-data-collection-project-plymouth-police-department-98418/#file-878387,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,20,2,0,,,,,,,37,14,0,0,,,,,,,30,17,3,0,,,,,,,25,10,3,0,,,,,,,25,5,1,0,0,0,,,,,26,7,0,0,0,0,,,,,,,,,,,,,,,department does not collect data on biased policiing complaints,,@MaryHammond,,Good,Good,,,,,191,73,9,0,0,0,,,,,2016-21,64199
Warwick,RI,145,Yes,police-department,RI0020300,,,,,,,,,,,,Obtained from the Police Department,https://www.muckrock.com/foi/warwick-2221/police-data-collection-project-warwick-police-department-98424/,yes,24,,,,,,,,,,26,,,,,,,,,,7,,,,,,,,,,10,,,,,,,,,,19,,,,,,,,,,10,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MaryHammond,,Good,,maryhammond 2013-19,,,,,,,,,,,,,,2016-21,80605
Broomfield,CO,146,Yes,,CO0070200,13,5,4,0,,,,,,,2016-19,Obtained from the Police Department,https://www.muckrock.com/foi/broomfield-5771/police-data-collection-project-broomfield-county-sheriff-98435/#comms,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,3,0,,,,,,,1,0,,,,,,,,,3,1,0,0,,,,,,,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MaryHammond,,Good - added 2019 racial profiling complaint,Good,,,,,13,5,4,0,,,,,,,2016-21,
Saratoga,NY,147,Yes,sheriff,NY0450000,70,14,4,0,3,0,1,0,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/saratoga-county-22301/police-data-collection-project-saratoga-county-sheriff-97853/#file-879292,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,0,0,0,,,,,11,3,0,0,0,0,,,,,2,2,0,0,0,0,,,,,6,3,1,0,1,0,,,,,14,3,2,0,2,0,0,0,,,31,0,1,0,0,0,1,0,,,,,,,,,,,,,,samswey,@MaryHammond,,Good,Good,,,,,70,14,4,0,3,0,1,0,,,2016-21,171244
Quincy,MA,148,Yes,police-department,MA0112000,49,9,2,0,4,0,,,,,2013-20,Obtained from the Police Department,https://www.muckrock.com/foi/quincy-257/police-data-collection-project-quincy-police-department-97724/#file-877434,,6,2,1,0,1,0,,,,,7,2,0,0,1,0,,,,,3,0,0,0,0,0,,,,,11,0,0,0,0,0,,,,,9,2,0,0,0,0,,,,,5,1,0,0,1,0,,,,,4,1,0,0,1,0,,,,,4,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,maryhammond 2013-15,maryhammond,,,49,9,2,0,4,0,,,,,2016-21,94519
Cranston,RI,149,Yes,police-department,RI0040200,176,46,36,1,7,0,12,1,,,2013-21,Obtained from the Police Department,https://www.muckrock.com/foi/cranston-2198/police-data-collection-project-cranston-police-department-98422/#file-878990 ; https://cdn.muckrock.com/foia_files/2021/09/12/8-30-21_MR117976.pdf,yes,40,5,13,0,2,0,4,0,,,29,7,7,1,3,0,7,1,,,14,2,3,0,0,0,0,0,,,14,9,0,0,0,0,,,,,23,5,1,0,0,0,,,,,16,5,1,0,0,0,,,,,21,9,4,0,1,0,,,,,12,3,3,0,1,0,1,0,,,7,1,4,0,0,0,0,0,,,,,,,,,,,,,numbers updated per 2021 FOIA request,2020-21 samswey,2013-2019 maryhammond,,Good,Good,,,,,176,46,36,1,7,0,12,1,,,2016-21,81313
New Castle County,DE,150,Yes,police-department,DE0020300,213,23,17,0,4,0,0,0,,,2016-20,Obtained from the Police Department,https://www.powerdms.com/public/NCCPD/documents/2092806,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2,5,0,1,0,,,,,50,10,5,0,0,0,,,,,52,1,3,0,1,0,,,,,39,5,3,0,2,0,,,,,33,5,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,,@MaryHammond,,,213,23,17,0,4,0,0,0,,,2016-21,422025
Broken Arrow,OK,151,Yes,police-department,OK0720100,65,11,14,2,1,0,,,,,2016-19,Obtained from the Police Department,https://www.muckrock.com/foi/broken-arrow-27205/police-data-collection-project-broken-arrow-police-department-97819/#file-879536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,1,0,0,0,,,,,14,3,4,1,1,0,,,,,27,3,6,1,0,0,,,,,16,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"@MaryHammond - used term ""Excessive Force"" only, not sure if there was another term for use of force",,Good,Good,,,,,65,11,14,2,1,0,,,,,2016-21,90956
Jonesboro,AR,152,Yes,police-department,AR0160100,344,53,31,1,14,0,13,0,,,2013-21,Obtained from the Police Department,https://www.muckrock.com/foi/jonesboro-9761/police-data-collection-project-jonesboro-police-department-98442/#comms,,31,15,5,0,0,0,2,0,,,42,3,4,0,1,0,3,0,,,30,3,5,0,0,0,0,0,,,31,3,1,0,3,0,,,,,47,9,2,0,1,0,,,,,23,2,1,0,0,0,,,,,42,3,3,0,2,0,,,,,61,6,6,0,5,0,5,0,,,37,9,4,1,2,0,3,0,,,,,,,,,,,,,,,"@MaryHammond - used term ""Racial Profiling"" only for discrimination category, not sure what other terms were used in calculating original number",,Good,Good,,maryhammond,,,344,53,31,1,14,0,13,0,,,2016-21,79702
Clinton,NY,153,Yes,sheriff,NY0090000,0,0,3,0,1,0,0,0,,,2021,Obtained from the Police Department,https://www.muckrock.com/foi/clinton-county-22276/police-data-collection-project-clinton-county-sheriff-98447/#file-879709,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,2,0,1,0,,,,,,,0,0,0,0,,,,,,,1,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,,,,,0,0,3,0,1,0,0,0,,,2016-21,60338
Grand Prairie,TX,154,Yes,police-department,TX0571200,,,,,2,0,,,,,,Obtained from the Police Department,https://www.muckrock.com/foi/grand-prairie-2871/police-data-collection-project-grand-prairie-police-department-97825/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,,,,,,,,,2,0,,,,,2016-21,135017
Springfield,MO,155,Yes,police-department,MO0390300,126,45,54,1,11,0,1,0,,,2016-21,Obtained from the Police Department,https://www.muckrock.com/foi/springfield-403/police-data-collection-project-springfield-police-department-97735/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,5,7,0,4,0,,,,,26,19,9,0,0,0,,,,,14,7,5,0,3,0,,,,,21,5,11,0,2,0,,,,,22,6,12,1,0,0,1,0,,,19,3,10,0,2,0,0,0,,,59,7,7,2,1,0,0,0,,,number sustained is allegations not complaints,,@MaryHammond,,Good,Good,,,,,126,45,54,1,11,0,1,0,,,2016-21,168854
Lynchburg,VA,156,Yes,police-department,VA1140000,289,43,43,1,17,0,,,,,2015-21,Obtained from the Police Department,https://www.muckrock.com/foi/lynchburg-32068/police-data-collection-project-lynchburg-police-department-98446/#file-895872,,,,,,0,0,,,,,,,,,0,0,,,,,34,6,12,1,0,0,,,,,80,14,16,0,,,,,,,28,2,0,0,1,0,,,,,15,4,3,0,,,,,,,55,6,3,0,5,0,,,,,45,6,7,0,6,0,,,,,32,5,2,0,5,0,,,,,,,,,,,,,,,,"samswey; 2013-2015, 2020 maryhammond; 2021 samswey",@MaryHammond,,Good,Good,,"@MaryHammond-my numbers: 2016 (40/8), 2017 (19/2), 2018 (9/3), 2019 (22/4) and 2019 bias (2/0)","@alliemonck: reviewed and re-entered, circle back",,289,43,43,1,17,0,,,,,2016-21,82871
Bethlehem,PA,157,Yes,police-department,PA0480300,87,7,13,0,5,0,,,,,2016-19,Obtained from the Police Department,https://www.muckrock.com/foi/bethlehem-28041/police-data-collection-project-bethlehem-police-department-98429/#file-895827,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2,5,0,5,0,,,,,20,2,1,0,0,0,,,,,11,1,1,0,0,0,,,,,24,2,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@MaryHammond,,Good,Good,,,,,87,7,13,0,5,0,,,,,2016-21,55921
