"Police Department","State","Concatenated","ORI","2020 Population of Jurisdiciton"
"WEST PALM BEACH POLICE DEPARTMENT","FL","WEST PALM BEACH POLICE DEPARTMENTFL","FL0500800",113268
"CITY OF CENTENNIAL POLICE DEPARTMENT","CO","CITY OF CENTENNIAL POLICE DEPARTMENTCO","CO0031100",112104
"MANCHESTER POLICE DEPARTMENT","NH","MANCHESTER POLICE DEPARTMENTNH","NH0063400",113018
"VENTURA POLICE DEPARTMENT","CA","VENTURA POLICE DEPARTMENTCA","CA0560800",109295
"EVERETT POLICE DEPARTMENT","WA","EVERETT POLICE DEPARTMENTWA","WA0310300",112439
"RICHMOND POLICE DEPARTMENT","CA","RICHMOND POLICE DEPARTMENTCA","CA0071000",111367
"INGLEWOOD POLICE DEPARTMENT","CA","INGLEWOOD POLICE DEPARTMENTCA","CA0193300",107986
"BILLINGS POLICE DEPARTMENT","MT","BILLINGS POLICE DEPARTMENTMT","MT0560100",110157
"BROKEN ARROW POLICE DEPARTMENT","OK","BROKEN ARROW POLICE DEPARTMENTOK","OK0720100",90956
"LAKELAND POLICE DEPARTMENT","FL","LAKELAND POLICE DEPARTMENTFL","FL0531200",113876
"HILLSBORO POLICE DEPARTMENT","OR","HILLSBORO POLICE DEPARTMENTOR","OR0340300",111146
"SANDY SPRINGS POLICE DEPARTMENT","GA","SANDY SPRINGS POLICE DEPARTMENTGA","GA0605600",111219
"BOULDER POLICE DEPARTMENT","CO","BOULDER POLICE DEPARTMENTCO","CO0070100",106598
"WATERBURY POLICE DEPARTMENT","CT","WATERBURY POLICE DEPARTMENTCT","CT0015100",107263
"LEAGUE CITY POLICE DEPARTMENT","TX","LEAGUE CITY POLICE DEPARTMENTTX","TX0840800",108478
"SANTA MARIA POLICE DEPARTMENT","CA","SANTA MARIA POLICE DEPARTMENTCA","CA0420400",108140
"DALY CITY POLICE DEPARTMENT","CA","DALY CITY POLICE DEPARTMENTCA","CA0410600",106855
"WEST COVINA POLICE DEPARTMENT","CA","WEST COVINA POLICE DEPARTMENTCA","CA0197500",104989
"JURUPA VALLEY","CA","JURUPA VALLEYCA","CA033A000",0
"LEWISVILLE POLICE DEPARTMENT","TX","LEWISVILLE POLICE DEPARTMENTTX","TX0610600",109576
"GREELEY POLICE DEPARTMENT","CO","GREELEY POLICE DEPARTMENTCO","CO0620200",110505
"DAVIE POLICE DEPARTMENT","FL","DAVIE POLICE DEPARTMENTFL","FL0061200",107988
"TYLER POLICE DEPARTMENT","TX","TYLER POLICE DEPARTMENTTX","TX2120400",108139
"NORWALK POLICE DEPARTMENT","CA","NORWALK POLICE DEPARTMENTCA","CA0194900",0
"SAN MATEO POLICE DEPARTMENT","CA","SAN MATEO POLICE DEPARTMENTCA","CA0411600",105246
"GREEN BAY POLICE DEPARTMENT","WI","GREEN BAY POLICE DEPARTMENTWI","WI0050200",104649
"BURBANK POLICE DEPARTMENT","CA","BURBANK POLICE DEPARTMENTCA","CA0191200",102419
"WICHITA FALLS POLICE DEPARTMENT","TX","WICHITA FALLS POLICE DEPARTMENTTX","TX2430500",104673
"EL CAJON POLICE DEPARTMENT","CA","EL CAJON POLICE DEPARTMENTCA","CA0370500",103035
"RIALTO POLICE DEPARTMENT","CA","RIALTO POLICE DEPARTMENTCA","CA0360900",104004
"MERIDIAN POLICE DEPARTMENT","ID","MERIDIAN POLICE DEPARTMENTID","ID0010300",119203
"ALLEN POLICE DEPARTMENT","TX","ALLEN POLICE DEPARTMENTTX","TX0430100",108218
"LAKEWOOD POLICE","NJ","LAKEWOOD POLICENJ","NJ0151400",108023
"RENTON POLICE DEPARTMENT","WA","RENTON POLICE DEPARTMENTWA","WA0171300",102856
"VISTA POLICE DEPARTMENT","CA","VISTA POLICE DEPARTMENTCA","CA0371300",0
"DAVENPORT POLICE DEPARTMENT","IA","DAVENPORT POLICE DEPARTMENTIA","IA0820200",101806
"SOUTH BEND POLICE","IN","SOUTH BEND POLICEIN","IN0710200",102119
"SPARKS POLICE DEPARTMENT","NV","SPARKS POLICE DEPARTMENTNV","NV0160200",106664
"LAS CRUCES POLICE DEPARTMENT","NM","LAS CRUCES POLICE DEPARTMENTNM","NM0070100",104022
"TUSCALOOSA POLICE DEPARTMENT","AL","TUSCALOOSA POLICE DEPARTMENTAL","AL0630100",102391
"EDISON POLICE","NJ","EDISON POLICENJ","NJ0120500",99584
"CLINTON TOWNSHIP POLICE DEPARTMENT","MI","CLINTON TOWNSHIP POLICE DEPARTMENTMI","MI5084900",100884
"VACAVILLE POLICE DEPARTMENT","CA","VACAVILLE POLICE DEPARTMENTCA","CA0480600",101616
"SAN ANGELO POLICE DEPARTMENT","TX","SAN ANGELO POLICE DEPARTMENTTX","TX2260100",101860
"WOODBRIDGE POLICE","NJ","WOODBRIDGE POLICENJ","NJ0122500",100119
"BOCA RATON POLICE DEPARTMENT","FL","BOCA RATON POLICE DEPARTMENTFL","FL0500200",101583
"ROANOKE CITY POLICE DEPARTMENT","VA","ROANOKE CITY POLICE DEPARTMENTVA","VA1230000",99335
"KENOSHA POLICE DEPARTMENT","WI","KENOSHA POLICE DEPARTMENTWI","WI0300100",100005
"OREM DEPARTMENT OF PUBLIC SAFETY","UT","OREM DEPARTMENT OF PUBLIC SAFETYUT","UT0250300",98902
"SPOKANE VALLEY POLICE DEPARTMENT","WA","SPOKANE VALLEY POLICE DEPARTMENTWA","WA0321500",102366
"BEAVERTON POLICE DEPARTMENT","OR","BEAVERTON POLICE DEPARTMENTOR","OR0340100",100085
"ALBANY POLICE DEPARTMENT","NY","ALBANY POLICE DEPARTMENTNY","NY0010100",96318
"LAWRENCE POLICE DEPARTMENT","KS","LAWRENCE POLICE DEPARTMENTKS","KS0230100",99368
"LEE'S SUMMIT POLICE DEPARTMENT","MO","LEE'S SUMMIT POLICE DEPARTMENTMO","MO0480800",98142
"SAN MARCOS POLICE DEPARTMENT","CA","SAN MARCOS POLICE DEPARTMENTCA","CA0371200",0
"COMPTON POLICE DEPARTMENT","CA","COMPTON POLICE DEPARTMENTCA","CA0191500",0
"FEDERAL WAY POLICE DEPARTMENT","WA","FEDERAL WAY POLICE DEPARTMENTWA","WA0173600",97071
"BEND POLICE DEPARTMENT","OR","BEND POLICE DEPARTMENTOR","OR0090100",103485
"RIO RANCHO DEPARTMENT OF PUBLIC SAFETY","NM","RIO RANCHO DEPARTMENT OF PUBLIC SAFETYNM","NM0230600",100506
"SANDY POLICE DEPARTMENT","UT","SANDY POLICE DEPARTMENTUT","UT0180500",97091
"ERIE POLICE DEPARTMENT","PA","ERIE POLICE DEPARTMENTPA","PA0250200",94842
"GREECE TOWN POLICE DEPARTMENT","NY","GREECE TOWN POLICE DEPARTMENTNY","NY0275400",95431
"YUMA POLICE DEPARTMENT","AZ","YUMA POLICE DEPARTMENTAZ","AZ0140500",99096
"BROCKTON POLICE DEPARTMENT","MA","BROCKTON POLICE DEPARTMENTMA","MA0120300",99171
"SUNRISE POLICE DEPARTMENT","FL","SUNRISE POLICE DEPARTMENTFL","FL0062700",96428
"FLINT POLICE DEPARTMENT","MI","FLINT POLICE DEPARTMENTMI","MI2539800",94842
"ROSWELL MARSHAL'S OFFICE","GA","ROSWELL MARSHAL'S OFFICEGA","GA0600500",95396
"SOUTH GATE POLICE DEPARTMENT","CA","SOUTH GATE POLICE DEPARTMENTCA","CA0196900",93336
"LONGMONT POLICE DEPARTMENT","CO","LONGMONT POLICE DEPARTMENTCO","CO0070400",97600
"NAMPA POLICE DEPARTMENT","ID","NAMPA POLICE DEPARTMENTID","ID0140200",101411
"PLANTATION POLICE DEPARTMENT","FL","PLANTATION POLICE DEPARTMENTFL","FL0060600",95669
"NEW BEDFORD POLICE DEPARTMENT","MA","NEW BEDFORD POLICE DEPARTMENTMA","MA0031100",94886
"RAMAPO TOWN POLICE DEPARTMENT","NY","RAMAPO TOWN POLICE DEPARTMENTNY","NY0435300",95165
"LYNN POLICE DEPARTMENT","MA","LYNN POLICE DEPARTMENTMA","MA0051400",94223
"QUINCY POLICE DEPARTMENT","MA","QUINCY POLICE DEPARTMENTMA","MA0112000",94519
"CHICO POLICE DEPARTMENT","CA","CHICO POLICE DEPARTMENTCA","CA0040200",105355
"PORTSMOUTH POLICE DEPARTMENT","VA","PORTSMOUTH POLICE DEPARTMENTVA","VA1200000",94205
"CARMEL POLICE DEPARTMENT","IN","CARMEL POLICE DEPARTMENTIN","IN0290100",103100
"FISHERS POLICE","IN","FISHERS POLICEIN","IN0290700",97481
"DEARBORN POLICE DEPARTMENT","MI","DEARBORN POLICE DEPARTMENTMI","MI8234300",93507
"CONCORD POLICE DEPARTMENT","NC","CONCORD POLICE DEPARTMENTNC","NC0130100",98411
"YAKIMA POLICE DEPARTMENT","WA","YAKIMA POLICE DEPARTMENTWA","WA0390500",93862
"LIVONIA POLICE DEPARTMENT","MI","LIVONIA POLICE DEPARTMENTMI","MI8253800",93342
"EDMOND POLICE DEPARTMENT","OK","EDMOND POLICE DEPARTMENTOK","OK0550300",95571
"GREENVILLE POLICE DEPARTMENT","NC","GREENVILLE POLICE DEPARTMENTNC","NC0740300",94372
"ASHEVILLE POLICE DEPARTMENT","NC","ASHEVILLE POLICE DEPARTMENTNC","NC0110100",93980
"LAWTON POLICE DEPARTMENT","OK","LAWTON POLICE DEPARTMENTOK","OK0160100",92507
"MIAMI BEACH POLICE DEPARTMENT","FL","MIAMI BEACH POLICE DEPARTMENTFL","FL0130700",89017
"CARSON POLICE DEPARTMENT","CA","CARSON POLICE DEPARTMENTCA","CA0197700",0
"SANTA MONICA POLICE DEPARTMENT","CA","SANTA MONICA POLICE DEPARTMENTCA","CA0196500",90474
"SANTA BARBARA POLICE DEPARTMENT","CA","SANTA BARBARA POLICE DEPARTMENTCA","CA0420300",91692
"EDINBURG POLICE DEPARTMENT","TX","EDINBURG POLICE DEPARTMENTTX","TX1080400",103491
"TOMS RIVER POLICE","NJ","TOMS RIVER POLICENJ","NJ0150700",94561
"REDDING POLICE DEPARTMENT","CA","REDDING POLICE DEPARTMENTCA","CA0450200",92895
"CANTON TOWNSHIP DEPARTMENT OF PUBLIC SAFETY","MI","CANTON TOWNSHIP DEPARTMENT OF PUBLIC SAFETYMI","MI8290800",94128
"TRACY POLICE DEPARTMENT","CA","TRACY POLICE DEPARTMENTCA","CA0390600",96067
"WESTMINSTER POLICE DEPARTMENT","CA","WESTMINSTER POLICE DEPARTMENTCA","CA0302400",90741
"LIVERMORE POLICE DEPARTMENT","CA","LIVERMORE POLICE DEPARTMENTCA","CA0010700",91200
"CHINO POLICE DEPARTMENT","CA","CHINO POLICE DEPARTMENTCA","CA0360200",96309
"SAN LEANDRO POLICE DEPARTMENT","CA","SAN LEANDRO POLICE DEPARTMENTCA","CA0011200",89239
"INDIO POLICE DEPARTMENT","CA","INDIO POLICE DEPARTMENTCA","CA0330900",93219
"BELLINGHAM POLICE DEPARTMENT","WA","BELLINGHAM POLICE DEPARTMENTWA","WA0370100",93629
"SUGAR LAND POLICE DEPARTMENT","TX","SUGAR LAND POLICE DEPARTMENTTX","TX0790500",119671
"KIRKLAND POLICE DEPARTMENT","WA","KIRKLAND POLICE DEPARTMENTWA","WA0170800",94470
"MOUNT PLEASANT POLICE DEPARTMENT","SC","MOUNT PLEASANT POLICE DEPARTMENTSC","SC0100300",94704
"NEWTON POLICE DEPARTMENT","MA","NEWTON POLICE DEPARTMENTMA","MA0093300",88281
"FALL RIVER POLICE DEPARTMENT","MA","FALL RIVER POLICE DEPARTMENTMA","MA0030800",89136
"NORWALK POLICE DEPARTMENT","CT","NORWALK POLICE DEPARTMENTCT","CT0010300",89140
"O'FALLON POLICE DEPARTMENT","MO","O'FALLON POLICE DEPARTMENTMO","MO0920100",89698
"CITRUS HEIGHTS POLICE DEPARTMENT","CA","CITRUS HEIGHTS POLICE DEPARTMENTCA","CA0349600",88314
"NASHUA POLICE DEPARTMENT","NH","NASHUA POLICE DEPARTMENTNH","NH0064600",89671
"READING POLICE DEPARTMENT","PA","READING POLICE DEPARTMENTPA","PA0061400",88412
"HAWTHORNE POLICE DEPARTMENT","CA","HAWTHORNE POLICE DEPARTMENTCA","CA0192800",86269
"FORT SMITH POLICE DEPARTMENT","AR","FORT SMITH POLICE DEPARTMENTAR","AR0660100",88071
"REDWOOD CITY POLICE DEPARTMENT","CA","REDWOOD CITY POLICE DEPARTMENTCA","CA0411300",86983
"HAMILTON POLICE","NJ","HAMILTON POLICENJ","NJ0110300",86805
"OGDEN POLICE DEPARTMENT","UT","OGDEN POLICE DEPARTMENTUT","UT0290100",88309
"CONROE POLICE DEPARTMENT","TX","CONROE POLICE DEPARTMENTTX","TX1700100",94451
"WHITTIER POLICE DEPARTMENT","CA","WHITTIER POLICE DEPARTMENTCA","CA0197600",85074
"FAYETTEVILLE POLICE DEPARTMENT","AR","FAYETTEVILLE POLICE DEPARTMENTAR","AR0720100",89252
"BLOOMINGTON POLICE DEPARTMENT","MN","BLOOMINGTON POLICE DEPARTMENTMN","MN0270100",85159
"NEWPORT BEACH POLICE DEPARTMENT","CA","NEWPORT BEACH POLICE DEPARTMENTCA","CA0301400",84448
"ST. GEORGE POLICE DEPARTMENT","UT","ST. GEORGE POLICE DEPARTMENTUT","UT0270100",91673
"DULUTH POLICE DEPARTMENT","MN","DULUTH POLICE DEPARTMENTMN","MN0690600",85555
"HEMET POLICE DEPARTMENT","CA","HEMET POLICE DEPARTMENTCA","CA0330800",86058
"DANBURY POLICE DEPARTMENT","CT","DANBURY POLICE DEPARTMENTCT","CT0003400",85080
"CLIFTON POLICE","NJ","CLIFTON POLICENJ","NJ0160200",85058
"BLOOMINGTON POLICE","IN","BLOOMINGTON POLICEIN","IN0530100",86347
"ALHAMBRA POLICE DEPARTMENT","CA","ALHAMBRA POLICE DEPARTMENTCA","CA0190100",83817
"LARGO POLICE DEPARTMENT","FL","LARGO POLICE DEPARTMENTFL","FL0520800",85594
"HOOVER POLICE DEPARTMENT","AL","HOOVER POLICE DEPARTMENTAL","AL0011200",61273
"JOHNS CREEK POLICE DEPARTMENT","GA","JOHNS CREEK POLICE DEPARTMENTGA","GA0605800",85408
"MISSION POLICE DEPARTMENT","TX","MISSION POLICE DEPARTMENTTX","TX1081000",85052
"AVONDALE POLICE DEPARTMENT","AZ","AVONDALE POLICE DEPARTMENTAZ","AZ0070100",89338
"BRYAN POLICE DEPARTMENT","TX","BRYAN POLICE DEPARTMENTTX","TX0210100",87435
"PLEASANTON POLICE DEPARTMENT","CA","PLEASANTON POLICE DEPARTMENTCA","CA0011100",83164
"TROY POLICE DEPARTMENT","MI","TROY POLICE DEPARTMENTMI","MI6378400",84441
"SANTA FE POLICE DEPARTMENT","NM","SANTA FE POLICE DEPARTMENTNM","NM0260100",85101
"TRENTON POLICE","NJ","TRENTON POLICENJ","NJ0111100",82909
"MERCED POLICE DEPARTMENT","CA","MERCED POLICE DEPARTMENTCA","CA0240600",84197
"BUENA PARK POLICE DEPARTMENT","CA","BUENA PARK POLICE DEPARTMENTCA","CA0300300",81901
"UPPER DARBY TOWNSHIP POLICE DEPARTMENT","PA","UPPER DARBY TOWNSHIP POLICE DEPARTMENTPA","PA0233700",82947
"MELBOURNE POLICE DEPARTMENT","FL","MELBOURNE POLICE DEPARTMENTFL","FL0050700",83806
"FORT MYERS POLICE DEPARTMENT","FL","FORT MYERS POLICE DEPARTMENTFL","FL0360100",90380
"MEDFORD POLICE DEPARTMENT","OR","MEDFORD POLICE DEPARTMENTOR","OR0150400",84016
"NEW BRAUNFELS POLICE DEPARTMENT","TX","NEW BRAUNFELS POLICE DEPARTMENTTX","TX0460100",78610
"KENNEWICK POLICE DEPARTMENT","WA","KENNEWICK POLICE DEPARTMENTWA","WA0030100",85526
"MOUNTAIN VIEW POLICE DEPARTMENT","CA","MOUNTAIN VIEW POLICE DEPARTMENTCA","CA0431100",83745
"SIOUX CITY POLICE DEPARTMENT","IA","SIOUX CITY POLICE DEPARTMENTIA","IA0970100",82622
"AUBURN POLICE DEPARTMENT","WA","AUBURN POLICE DEPARTMENTWA","WA0170100",72871
"SOMERVILLE POLICE DEPARTMENT","MA","SOMERVILLE POLICE DEPARTMENTMA","MA0093900",81552
"GOODYEAR POLICE DEPARTMENT","AZ","GOODYEAR POLICE DEPARTMENTAZ","AZ0071500",89607
"CLARKSTOWN TOWN POLICE DEPARTMENT","NY","CLARKSTOWN TOWN POLICE DEPARTMENTNY","NY0435000",80462
"LONGVIEW POLICE DEPARTMENT","TX","LONGVIEW POLICE DEPARTMENTTX","TX0920500",79785
"LYNCHBURG POLICE DEPARTMENT","VA","LYNCHBURG POLICE DEPARTMENTVA","VA1140000",82871
"WESTLAND POLICE DEPARTMENT","MI","WESTLAND POLICE DEPARTMENTMI","MI8281700",81244
"DEERFIELD BEACH POLICE DEPARTMENT","FL","DEERFIELD BEACH POLICE DEPARTMENTFL","FL0060200",0
"BROOKLYN PARK POLICE DEPARTMENT","MN","BROOKLYN PARK POLICE DEPARTMENTMN","MN0270300",80897
"TUSTIN POLICE DEPARTMENT","CA","TUSTIN POLICE DEPARTMENTCA","CA0302200",79795
"FARMINGTON HILLS POLICE DEPARTMENT","MI","FARMINGTON HILLS POLICE DEPARTMENTMI","MI6338900",80708
"LAKEWOOD POLICE DEPARTMENT","CA","LAKEWOOD POLICE DEPARTMENTCA","CA0193500",0
"MANTECA POLICE DEPARTMENT","CA","MANTECA POLICE DEPARTMENTCA","CA0390300",84929
"CRANSTON POLICE DEPARTMENT","RI","CRANSTON POLICE DEPARTMENTRI","RI0040200",81313
"SPRINGDALE POLICE DEPARTMENT","AR","SPRINGDALE POLICE DEPARTMENTAR","AR0720200",74914
"FRANKLIN POLICE DEPARTMENT","TN","FRANKLIN POLICE DEPARTMENTTN","TN0940100",85722
"PHARR POLICE DEPARTMENT","TX","PHARR POLICE DEPARTMENTTX","TX1081100",80098
"WARWICK POLICE DEPARTMENT","RI","WARWICK POLICE DEPARTMENTRI","RI0020300",80605
"NEW ROCHELLE POLICE DEPARTMENT","NY","NEW ROCHELLE POLICE DEPARTMENTNY","NY0590400",78707
"NAPA POLICE DEPARTMENT","CA","NAPA POLICE DEPARTMENTCA","CA0280200",78237
"ALAMEDA POLICE DEPARTMENT","CA","ALAMEDA POLICE DEPARTMENTCA","CA0010100",78047
"MILPITAS POLICE DEPARTMENT","CA","MILPITAS POLICE DEPARTMENTCA","CA0430800",86416
"SHELBY TOWNSHIP POLICE DEPARTMENT","MI","SHELBY TOWNSHIP POLICE DEPARTMENTMI","MI5074000",81416
"COLONIE TOWN POLICE DEPARTMENT","NY","COLONIE TOWN POLICE DEPARTMENTNY","NY0015300",79082
"PLYMOUTH POLICE DEPARTMENT","MN","PLYMOUTH POLICE DEPARTMENTMN","MN0271700",80843
"PERRIS POLICE DEPARTMENT","CA","PERRIS POLICE DEPARTMENTCA","CA0331200",0
"BOYNTON BEACH POLICE DEPARTMENT","FL","BOYNTON BEACH POLICE DEPARTMENTFL","FL0500300",79913
"CEDAR PARK POLICE DEPARTMENT","TX","CEDAR PARK POLICE DEPARTMENTTX","TX2460900",73949
"PARMA POLICE DEPARTMENT","OH","PARMA POLICE DEPARTMENTOH","OH0184200",77684
"FOLSOM POLICE DEPARTMENT","CA","FOLSOM POLICE DEPARTMENTCA","CA0340100",82427
"FLOWER MOUND POLICE DEPARTMENT","TX","FLOWER MOUND POLICE DEPARTMENTTX","TX0611200",80641
"LOVELAND POLICE DEPARTMENT","CO","LOVELAND POLICE DEPARTMENTCO","CO0350400",80302
"LAYTON POLICE DEPARTMENT","UT","LAYTON POLICE DEPARTMENTUT","UT0060300",79240
"BELLFLOWER POLICE DEPARTMENT","CA","BELLFLOWER POLICE DEPARTMENTCA","CA0190800",0
"LAKE CHARLES POLICE DEPARTMENT","LA","LAKE CHARLES POLICE DEPARTMENTLA","LA0100200",79077
"SCRANTON POLICE DEPARTMENT","PA","SCRANTON POLICE DEPARTMENTPA","PA0350400",76719
"CHEEKTOWAGA TOWN POLICE DEPARTMENT","NY","CHEEKTOWAGA TOWN POLICE DEPARTMENTNY","NY0145500",76536
"BAYTOWN POLICE DEPARTMENT","TX","BAYTOWN POLICE DEPARTMENTTX","TX1010100",73610
"UPLAND POLICE DEPARTMENT","CA","UPLAND POLICE DEPARTMENTCA","CA0361100",77511
"RACINE POLICE DEPARTMENT","WI","RACINE POLICE DEPARTMENTWI","WI0520200",76573
"GASTONIA POLICE DEPARTMENT","NC","GASTONIA POLICE DEPARTMENTNC","NC0360600",77918
"JONESBORO POLICE DEPARTMENT","AR","JONESBORO POLICE DEPARTMENTAR","AR0160100",79702
"IOWA CITY POLICE DEPARTMENT","IA","IOWA CITY POLICE DEPARTMENTIA","IA0520200",75964
"BALDWIN PARK POLICE DEPARTMENT","CA","BALDWIN PARK POLICE DEPARTMENTCA","CA0190600",75233
"WYOMING POLICE DEPARTMENT","MI","WYOMING POLICE DEPARTMENTMI","MI4183400",76071
"ST. JOSEPH POLICE DEPARTMENT","MO","ST. JOSEPH POLICE DEPARTMENTMO","MO0110100",74680
"UNION CITY POLICE DEPARTMENT","CA","UNION CITY POLICE DEPARTMENTCA","CA0011300",74625
"HAMMOND POLICE","IN","HAMMOND POLICEIN","IN0450700",74966
"KALAMAZOO DEPARTMENT OF PUBLIC SAFETY","MI","KALAMAZOO DEPARTMENT OF PUBLIC SAFETYMI","MI3949900",76411
"BETHLEHEM POLICE DEPARTMENT","PA","BETHLEHEM POLICE DEPARTMENTPA","PA0480300",55921
"TEMPLE POLICE DEPARTMENT","TX","TEMPLE POLICE DEPARTMENTTX","TX0140700",79878
"WARNER ROBINS POLICE DEPARTMENT","GA","WARNER ROBINS POLICE DEPARTMENTGA","GA0760200",78065
"MISSOURI CITY POLICE DEPARTMENT","TX","MISSOURI CITY POLICE DEPARTMENTTX","TX0790100",70121
"RAPID CITY POLICE DEPARTMENT","SD","RAPID CITY POLICE DEPARTMENTSD","SD0510100",78492
"APPLETON POLICE DEPARTMENT","WI","APPLETON POLICE DEPARTMENTWI","WI0450100",61661
"BRICK TOWNSHIP POLICE","NJ","BRICK TOWNSHIP POLICENJ","NJ0150600",76326
"GEORGETOWN POLICE DEPARTMENT","TX","GEORGETOWN POLICE DEPARTMENTTX","TX2460200",84210
"BISMARCK POLICE DEPARTMENT","ND","BISMARCK POLICE DEPARTMENTND","ND0080100",74997
"PASCO POLICE DEPARTMENT","WA","PASCO POLICE DEPARTMENTWA","WA0110200",76970
"SOUTH JORDAN POLICE DEPARTMENT","UT","SOUTH JORDAN POLICE DEPARTMENTUT","UT0181800",80090
"MISSOULA POLICE DEPARTMENT","MT","MISSOULA POLICE DEPARTMENTMT","MT0320100",76468
"TURLOCK POLICE DEPARTMENT","CA","TURLOCK POLICE DEPARTMENTCA","CA0500700",74183
"ROCK HILL POLICE DEPARTMENT","SC","ROCK HILL POLICE DEPARTMENTSC","SC0460300",76016
"PITTSBURG POLICE DEPARTMENT","CA","PITTSBURG POLICE DEPARTMENTCA","CA0070800",73673
"SOUTHFIELD POLICE DEPARTMENT","MI","SOUTHFIELD POLICE DEPARTMENTMI","MI6375100",72794
"WATERFORD TOWNSHIP POLICE DEPARTMENT","MI","WATERFORD TOWNSHIP POLICE DEPARTMENTMI","MI6380800",72735
"LAFAYETTE POLICE","IN","LAFAYETTE POLICEIN","IN0790100",72040
"KISSIMMEE POLICE DEPARTMENT","FL","KISSIMMEE POLICE DEPARTMENTFL","FL0490200",74337
"FLAGSTAFF POLICE DEPARTMENT","AZ","FLAGSTAFF POLICE DEPARTMENTAZ","AZ0030100",76107
"PORTER COUNTY SHERIFF'S OFFICE","IN","PORTER COUNTY SHERIFF'S OFFICEIN","IN0640000",72079
"LAUDERHILL POLICE DEPARTMENT","FL","LAUDERHILL POLICE DEPARTMENTFL","FL0061800",72421
"WAUKESHA POLICE DEPARTMENT","WI","WAUKESHA POLICE DEPARTMENTWI","WI0680500",72421
"NEW BRITAIN POLICE DEPARTMENT","CT","NEW BRITAIN POLICE DEPARTMENTCT","CT0008900",72412
"ALBANY POLICE DEPARTMENT","GA","ALBANY POLICE DEPARTMENTGA","GA0470100",71567
"FRAMINGHAM POLICE DEPARTMENT","MA","FRAMINGHAM POLICE DEPARTMENTMA","MA0091800",74680
"MAPLE GROVE POLICE DEPARTMENT","MN","MAPLE GROVE POLICE DEPARTMENTMN","MN0272700",73939
"GULFPORT POLICE DEPARTMENT","MS","GULFPORT POLICE DEPARTMENTMS","MS0240200",72142
"FREDERICK POLICE DEPARTMENT","MD","FREDERICK POLICE DEPARTMENTMD","MD0110300",73042
"REDLANDS POLICE DEPARTMENT","CA","REDLANDS POLICE DEPARTMENTCA","CA0360800",71820
"PAWTUCKET POLICE DEPARTMENT","RI","PAWTUCKET POLICE DEPARTMENTRI","RI0040800",72017
"WESTON","FL","WESTONFL","FL0068800",0
"JACKSONVILLE POLICE DEPARTMENT","NC","JACKSONVILLE POLICE DEPARTMENTNC","NC0670100",71842
"NORTH RICHLAND HILLS POLICE DEPARTMENT","TX","NORTH RICHLAND HILLS POLICE DEPARTMENTTX","TX2202100",71520
"BUCKEYE POLICE DEPARTMENT","AZ","BUCKEYE POLICE DEPARTMENTAZ","AZ0070300",83608
"LYNWOOD POLICE DEPARTMENT","CA","LYNWOOD POLICE DEPARTMENTCA","CA0194300",0
"HOMESTEAD POLICE DEPARTMENT","FL","HOMESTEAD POLICE DEPARTMENTFL","FL0130500",70538
"WILMINGTON POLICE DEPARTMENT","DE","WILMINGTON POLICE DEPARTMENTDE","DE0020600",70100
"ST. CHARLES POLICE DEPARTMENT","MO","ST. CHARLES POLICE DEPARTMENTMO","MO0920300",71563
"WOODBURY POLICE DEPARTMENT","MN","WOODBURY POLICE DEPARTMENTMN","MN0821100",74110
"MANSFIELD POLICE DEPARTMENT","TX","MANSFIELD POLICE DEPARTMENTTX","TX2202000",72010
"CANTON POLICE DEPARTMENT","OH","CANTON POLICE DEPARTMENTOH","OH0760400",70124
"WALNUT CREEK POLICE DEPARTMENT","CA","WALNUT CREEK POLICE DEPARTMENTCA","CA0071200",70849
"CHERRY HILL POLICE","NJ","CHERRY HILL POLICENJ","NJ0041200",71220
"PASSAIC POLICE","NJ","PASSAIC POLICENJ","NJ0160700",69610
"BROOMFIELD POLICE DEPARTMENT","CO","BROOMFIELD POLICE DEPARTMENTCO","CO0640100",71795
"MARYSVILLE POLICE DEPARTMENT","WA","MARYSVILLE POLICE DEPARTMENTWA","WA0310500",71522
"DELRAY BEACH POLICE DEPARTMENT","FL","DELRAY BEACH POLICE DEPARTMENTFL","FL0500400",70487
"UNION CITY POLICE","NJ","UNION CITY POLICENJ","NJ0091000",68055
"GREENVILLE POLICE DEPARTMENT","SC","GREENVILLE POLICE DEPARTMENTSC","SC0230200",72014
"BOSSIER CITY POLICE DEPARTMENT","LA","BOSSIER CITY POLICE DEPARTMENTLA","LA0080100",68869
"DAVIS POLICE DEPARTMENT","CA","DAVIS POLICE DEPARTMENTCA","CA0570100",69853
"DAYTONA BEACH POLICE DEPARTMENT","FL","DAYTONA BEACH POLICE DEPARTMENTFL","FL0640100",70084
"EAU CLAIRE POLICE DEPARTMENT","WI","EAU CLAIRE POLICE DEPARTMENTWI","WI0180100",67063
"MOUNT VERNON POLICE DEPARTMENT","NY","MOUNT VERNON POLICE DEPARTMENTNY","NY0590300",67339
"YORBA LINDA POLICE DEPARTMENT","CA","YORBA LINDA POLICE DEPARTMENTCA","CA0302500",0
"DOTHAN POLICE DEPARTMENT","AL","DOTHAN POLICE DEPARTMENTAL","AL0380100",67975
"MUNCIE POLICE","IN","MUNCIE POLICEIN","IN0180100",67760
"ST. CLOUD POLICE DEPARTMENT","MN","ST. CLOUD POLICE DEPARTMENTMN","MN0730400",54907
