"Police Department","State","ORI","Data Entered?","Population","Use of Force Source Link","2013 Firearm Discharged at Person","2014 Firearm Discharged at Person","2015 Firearm Discharged at Person","2016 Firearm Discharged at Person","2017 Firearm Discharged at Person","2018 Firearm Discharged at Person","2019 Firearm Discharged at Person","2020 Firearm Discharged at Person","2021 Firearm Discharged at Person","2022 Firearm Discharged at Person","2013 Taser (also sometimes called Electronic Control Weapons or ECW)","2014 Taser (also sometimes called Electronic Control Weapons or ECW)","2015 Taser (also sometimes called Electronic Control Weapons or ECW)","2016 Taser (also sometimes called Electronic Control Weapons or ECW)","2017 Taser (also sometimes called Electronic Control Weapons or ECW)","2018 Taser (also sometimes called Electronic Control Weapons or ECW)","2019 Taser (also sometimes called Electronic Control Weapons or ECW)","2020 Taser (also sometimes called Electronic Control Weapons or ECW)","2021 Taser (also sometimes called Electronic Control Weapons or ECW)","2022 Taser (also sometimes called Electronic Control Weapons or ECW)","Are taser uses separated into two or more categories (for example, taser probes vs taser drive stuns)? (Put Yes or No)","2013 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2014 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2015 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2016 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2017 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2018 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2019 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2020 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2021 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","2022 Impact Weapons and Projectiles (Baton, Rapid Containment Baton, ASP, Bean Bag Gun, Extended range impact weapons, RCB, improvised impact weapon)","Categories counted in impact weapon tally","2013 Carotid Restraints (also sometimes called Carotid Control Holds)","2014 Carotid Restraints (also sometimes called Carotid Control Holds)","2015 Carotid Restraints (also sometimes called Carotid Control Holds)","2016 Carotid Restraints (also sometimes called Carotid Control Holds)","2017 Carotid Restraints (also sometimes called Carotid Control Holds)","2018 Carotid Restraints (also sometimes called Carotid Control Holds)","2019 Carotid Restraints (also sometimes called Carotid Control Holds)","2020 Carotid Restraints (also sometimes called Carotid Control Holds)","2021 Carotid Restraints (also sometimes called Carotid Control Holds)","2022 Carotid Restraints (also sometimes called Carotid Control Holds)","2013 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2014 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2015 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2016 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2017 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2018 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2019 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2020 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2021 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2022 Chemical Spray (OC Spray/Pepper Spray and Pepper Ball)","2013 K-9 deployments","2014 K-9 deployments","2015 K-9 deployments","2016 K-9 deployments","2017 K-9 deployments","2018 K-9 deployments","2019 K-9 deployments","2020 K-9 deployments","2021 K-9 deployments","2022 K-9 deployments","Total Use of Force Incidents 2013","Total Use of Force Incidents 2014","Total Use of Force Incidents 2015","Total Use of Force Incidents 2016","Total Use of Force Incidents 2017","Total Use of Force Incidents 2018","Total Use of Force Incidents 2019","Total Use of Force Incidents 2020","Total Use of Force Incidents 2021","Total Use of Force Incidents 2022","2013 Total ""Less Lethal Force""","2014 Total ""Less Lethal Force""","2015 Total ""Less Lethal Force""","2016 Total ""Less Lethal Force""","2017 Total ""Less Lethal Force""","2018 Total ""Less Lethal Force""","2019 Total ""Less Lethal Force""","Total_Less_lethal_force_2020","2021 Total ""Less Lethal Force""","2022 Total ""Less Lethal Force""","Individualized w/ officer names","Notes/Comments","Slack handle of person inputting the data","FINAL CHECK","Data checked?","Responses to factchecking","Response to response","Response to response to response","2021 Response","2021 Response to Response","Fact-Checked by","Use of Force Documentation (2013 LEMAS)","Officer or Incident Based Reporting (2013 LEMAS)","Force Types Required to be Reported (2013 LEMAS)","Total Use of Force Incidents 2012 (LEMAS)","Total Use of Force Reports 2012 (LEMAS)","Reportable Force Types (2016 LEMAS)","Reportable Force Types (Updated)","Use of Force Documentation Used (Updated)","Officer or Incident Based Reporting Used (DRAFT Revision)","Review Incident/Officer Based Reporting"
"Randolph County Sheriff's Office","NC","NC0760000","Yes",97717,"https://www.muckrock.com/foi/randolph-county-4639/sheriff-data-collection-request-2021-133604/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,"","LAW ENFORCEMENT AND CORRECTIONS INCIDENTS INCLUDED.","samswey","","","","","","",NA,"","Documented in arrest report","Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,150,"Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Documented in arrest report","Officer","review"
"Longmont Police Department","CO","CO0070400","Yes",97600,"https://www.muckrock.com/foi/longmont-5897/police-data-collection-request-2021-134862/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"LL Baton Mechanical Leverage, LL Fire Impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,"","Use of force totals based on number of people force was used against.","samswey","","","","","","",NA,"","Use of force form","Incident/Officer","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",120,184,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","Use of force form","Incident/Officer","review"
"Fishers Police Department","IN","IN0290700","Yes",97481,"https://www.muckrock.com/foi/fishers-12457/police-data-collection-request-2021-134797",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"impact round",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"","","","","","","","","",NA,"","","","",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge;K-9 Deployment","","",""
"Sandy Police Department","UT","UT0180500","Yes",97091,"https://www.muckrock.com/foi/sandy-31718/utah-police-data-collection-sandy-police-department-117856/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,6,3,NA,NA,"No",NA,NA,NA,1,2,0,0,4,NA,NA,"Baton",NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0,2,0,1,0,NA,NA,NA,NA,NA,3,1,0,0,0,NA,NA,NA,NA,NA,83,108,97,69,76,NA,NA,NA,NA,NA,8,6,3,7,7,NA,NA,"","OC = OC Spray + Pepper Projectile System","samswey","","","","","","",NA,"","Use of force form","Incident","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",110,NA,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Federal Way Police Department","WA","WA0173600","Yes",97071,"https://www.muckrock.com/foi/federal-way-8361/washington-police-data-collection-federal-way-police-department-116173/ ; https://www.muckrock.com/foi/federal-way-8361/police-data-collection-request-2021-134851/",NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,34,30,38,32,25,23,12,NA,"No",NA,NA,4,3,5,3,2,4,NA,NA,"Baton, 40mm, ASP, Other Impact",NA,NA,8,6,4,9,11,2,NA,NA,NA,NA,2,2,2,2,3,1,5,NA,NA,NA,4,5,10,12,6,7,1,NA,NA,NA,NA,NA,NA,NA,NA,48,31,NA,NA,NA,52,46,59,58,47,37,18,NA,"","","maryhammond","","","","","","",NA,"","Use of force form","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",95,NA,"Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge;K-9 Deployment","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Warren County Sheriff's Office","OH","OH0830000","Yes",96802,"https://www.muckrock.com/foi/lebanon-26066/sheriff-data-collection-request-2021-133609/",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,"","LAW ENFORCEMENT AND CORRECTIONS INCIDENTS INCLUDED.","samswey","","","","","","",NA,"","","","",NA,NA,"","","","",""
"Waukesha County Sheriff","WI","WI0680000","Yes",96741,"https://www.muckrock.com/foi/waukesha-county-8641/sheriff-data-collection-request-2016-2020-149501/ ; https://www.muckrock.com/foi/waukesha-county-8641/police-data-collection-request-2020-109628/ ; https://www.muckrock.com/foi/waukesha-county-8641/sheriff-data-collection-request-2021-133608/",NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,8,5,1,6,6,4,NA,"No",NA,NA,NA,2,6,5,3,7,NA,NA,"Baton, Less Lethal, 40MM impact, 40mm impact deployed, 40mm, exact impact round, 40mm baton rounds, sl6/40mm, intermediate weapons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,NA,NA,NA,NA,NA,3,0,0,0,1,3,NA,NA,NA,NA,82,90,82,53,84,92,NA,NA,NA,NA,13,11,6,9,15,7,NA,"Individualized with officer names","","samswey","mhammond","","","","","",NA,"","Documented in arrest report","Incident","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",119,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Documented in arrest report","Incident",""
"Sunrise Police Department","FL","FL0062700","Yes",96428,"https://www.muckrock.com/foi/sunrise-10534/florida-police-data-sunrise-police-department-77078/ ; https://www.muckrock.com/foi/sunrise-10534/police-data-collection-request-2021-134859/ ; https://www.muckrock.com/foi/sunrise-10534/police-data-collection-request-2020-sunrise-police-department-148159/",NA,NA,NA,4,2,2,0,NA,0,NA,NA,NA,NA,6,10,2,6,2,13,NA,"No",NA,NA,NA,1,1,1,1,1,0,NA,"ASP, Baton, Beanbag shotgun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,NA,1,NA,NA,NA,NA,6,8,7,7,3,3,NA,NA,NA,NA,22,24,19,25,21,40,NA,NA,NA,NA,13,21,11,17,6,17,NA,"lists officer names UOF","individualized","","","@MaryHammond - no data entered","just went in and entered-alliemonck","","","",NA,"","Use of force form","Incident/Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",23,35,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Discharge;K-9 Deployment","Use of force form","Incident",""
"Albany Police Department","NY","NY0010100","Yes",96318,"https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,13,10,"No",NA,NA,NA,NA,NA,NA,NA,NA,0,4,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,32,NA,NA,NA,NA,NA,NA,NA,NA,22,25,"INDIVIDUALIZED via state database","","samswey","","","","","","",NA,"","","Incident","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Not Applicable (Bean Bag)/OC Spray/Not Applicable (Other Chemical)/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/",380,NA,"Open-Hand;Closed-Hand;Takedowns;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Discharge","Neck Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Incident",""
"Chino Police Department","CA","CA0360200","Yes",96309,"https://www.muckrock.com/foi/chino-3147/california-police-data-chino-police-department-77498/ ; http://cityofchino.hosted.civiclive.com/UserFiles/Servers/Server_10382578/File/City%20Hall/Departments/Police/2016%20Annual%20Report.pdf ; https://www.muckrock.com/foi/chino-3147/police-data-collection-request-2021-134928/ ; https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_10382578/File/City%20Hall/Departments/Police/2020annualreportfinal.pdf ; https://cityofchino.org/Archive/ViewFile/Item/185 ; https://cityofchino.org/Archive/ViewFile/Item/114 ; https://cdn5-hosted.civiclive.com/UserFiles/Servers/Server_10382578/File/City%20Hall/Departments/Police/About%20Chino%20PD/Final%202017%20Annual%20Report%20sm.pdf",NA,NA,NA,2,0,0,1,3,0,NA,NA,NA,NA,6,10,1,8,10,6,NA,"No",NA,NA,NA,2,3,0,2,6,1,NA,"Baton, 40MM Impact",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,1,2,2,0,0,0,NA,NA,NA,NA,56,52,NA,111,61,65,NA,NA,NA,NA,9,15,3,10,16,7,NA,"","","alliemonck","Good","@MaryHammond - only able to verify 2018 data, no link to data for 2016","unable to find 2016 data","","added chart and link to scorecard doc","",NA,"","","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",39,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge;K-9 Deployment","","Incident",""
"Tracy Police Department","CA","CA0390600","Yes",96067,"https://www.muckrock.com/foi/tracy-3474/police-data-collection-request-2021-135224/ ; https://www.muckrock.com/foi/tracy-3474/california-police-data-tracy-planning-division-77483/#file-800863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,6,NA,"No",NA,NA,NA,NA,NA,1,NA,NA,7,NA,"Kinetic energy device",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA,NA,19,NA,NA,14,NA,NA,NA,NA,NA,NA,15,NA,NA,14,NA,"","","","","","","","","",NA,"","","","",NA,NA,"","","","",""
"Plantation Police Department","FL","FL0060600","Yes",95669,"https://www.muckrock.com/foi/plantation-10527/florida-police-data-plantation-police-department-77102/#file-809491 https://www.muckrock.com/foi/plantation-10527/florida-police-data-collection-plantation-police-department-117861/ ; https://www.muckrock.com/foi/plantation-10527/police-data-collection-request-2021-134788/",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,5,19,24,25,NA,"No",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Baton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,4,9,9,3,NA,NA,NA,NA,NA,22,31,23,36,39,37,NA,NA,NA,NA,NA,8,14,29,30,26,NA,"lists officer names on complaints","missing a large number of UOF categories in reporting","alliemonck","Good","@MaryHammond","","","","",NA,"maryhammond","Use of force form","Officer","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Not Applicable (Neck Restraint)/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,44,"Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Use of force form","Officer","review"
"Edmond Police Department","OK","OK0550300","Yes",95571,"https://www.muckrock.com/foi/edmond-27051/police-data-collection-request-2016-2021-149783/ ; https://www.muckrock.com/foi/edmond-27051/oklahoma-police-data-collection-edmond-police-department-117868/",0,0,2,2,0,0,1,0,0,NA,13,15,9,9,10,12,20,14,18,NA,"No",0,0,0,0,0,0,0,0,0,NA,"Baton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,1,0,0,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,40,49,52,45,21,NA,13,17,9,10,10,12,22,15,19,NA,"","","samswey","","","","","","",NA,"maryhammond","Use of force form","Incident","Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Firearm Discharge","Use of force form","Incident",""
"Greece Town Police Department","NY","NY0275400","Yes",95431,"https://www.muckrock.com/foi/greece-23251/police-data-collection-project-greece-ny-police-department-97861/
https://www.muckrock.com/foi/greece-23251/police-data-collection-request-2020-2021-127115/ ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,0,0,3,0,0,0,0,NA,NA,NA,11,16,16,16,15,16,3,"No",NA,NA,NA,0,2,3,1,1,1,0,"Soft Projectivle Impact Device, Expandable Baton",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,1,6,3,4,2,4,0,NA,NA,NA,0,0,0,1,0,0,NA,NA,NA,NA,71,96,95,97,73,88,NA,NA,NA,NA,12,24,22,22,18,21,3,"","More force reported via public records request than NY state database. Used data from public records to preserve consistency across years of local data.","samswey","","@ashtaan","","","","",NA,"maryhammond","","","",NA,NA,"","","Use of force form","",""
"Whatcom County Sheriff's Office","WA","WA0370000","Yes",95364,"https://www.muckrock.com/foi/whatcom-county-8562/sheriff-data-collection-request-2021-133611/",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Impact weapon, impact projectile, explosive device",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,"Individualized, no officer names included","LAW ENFORCEMENT AND CORRECTIONS INCIDENTS INCLUDED.","samswey","","","","","","",NA,"","Documented in arrest report","Incident/Officer","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,15000,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Discharge;Explosives;Firearm Display;Firearm Discharge;K-9 Deployment","Documented in arrest report","Incident",""
"Ramapo Town Police Department","NY","NY0435300","Yes",95165,"https://www.muckrock.com/foi/ramapo-23396/police-data-collection-request-2021-134790/ ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Final%20Use%20of%20Force%20Frequency%20Tables%2011-17-2022.xlsx ; https://www.criminaljustice.ny.gov/crimnet/ojsa/Nov2020-Dec2021%20UOF%20Case%20Level%20File%20Final.xlsx",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,6,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Impact Weapon",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,"INDIVIDUALIZED via state database","Fewer use of force incidents reported via public records request than to NY state database. This appears to be due to including displays of force in use of force totals reported to the state, yielding 11 total use of force incidents of which 6 were displays only. Displays of force were able to be excluded from total use of force incidents based on individualized data provided directly by agency.","samswey","","","","","","",NA,"","Use of force form","Incident/Officer","Display Firearm/Discharge Firearm/Baton/Not Applicable (Impact Weapon)/Not Applicable (Bean Bag)/OC Spray/Not Applicable (Other Chemical)/Display Taser/Discharge Taser/Not Applicable (Neck Restraint)/Not Applicable (Takedown)/Not Applicable (Open Hand)/Not Applicable (Closed Hand)/Not Applicable (Leg Restraints)",35,35,"","","Use of force form","Incident",""
"Merced County Sheriff's Office","CA","CA0240000","Yes",95142,"https://www.muckrock.com/foi/merced-county-3050/sheriff-data-collection-request-2021-133612/ ; https://www.muckrock.com/foi/merced-county-3050/sheriff-data-collection-request-2021-133612/",NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,14,30,21,22,33,NA,"Yes",NA,NA,NA,NA,8,7,25,10,22,NA,"FN303, Baton Strike, LL Shotgun, SWAT diversionary device",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,3,5,8,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,135,205,249,241,223,NA,NA,NA,NA,NA,35,50,49,38,65,NA,"","LAW ENFORCEMENT AND CORRECTIONS INCIDENTS INCLUDED. Operations bureau UOF data only available from 11/2021.","samswey","","","","","","",NA,"","Use of force form","Officer","Display Firearm/Discharge Firearm/Baton/Impact Weapon/Bean Bag/OC Spray/Other Chemical/Display Taser/Discharge Taser/Neck Restraints/Takedown/Open Hand/Closed Hand/Leg Restraints",NA,NA,"Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Open-Hand;Closed-Hand;Takedowns;Neck Restraints;Leg Restraints;OC Spray;Chemical Weapons;Baton;Blunt Object;Taser Display;Taser Discharge;Firearm Display;Firearm Discharge","Use of force form","Officer","review"
